elapsed_millisecs; head_x; head_y; head_z; hand_tip_right_x; hand_tip_right_y; hand_tip_right_z; thumb_right_x; thumb_right_y; thumb_right_z; hand_right_x; hand_right_y; hand_right_z; wrist_right_x; wrist_right_y; wrist_right_z; elbow_right_x; elbow_right_y; elbow_right_z; shoulder_right_x; shoulder_right_y; shoulder_right_z; spine_shoulder_x; spine_shoulder_y; spine_shoulder_z; neck_x; neck_y; neck_z; shoulder_left_x; shoulder_left_y; shoulder_left_z; elbow_left_x; elbow_left_y; elbow_left_z; wrist_left_x; wrist_left_y; wrist_left_z; hand_left_x; hand_left_y; hand_left_z; hand_tip_left_x; hand_tip_left_y; hand_tip_left_z; thumb_left_x; thumb_left_y; thumb_left_z; spine_mid_x; spine_mid_y; spine_mid_z; spine_base_x; spine_base_y; spine_base_z; hip_right_x; hip_right_y; hip_right_z; hip_left_x; hip_left_y; hip_left_z; knee_right_x; knee_right_y; knee_right_z; knee_left_x; knee_left_y; knee_left_z; ankle_right_x; ankle_right_y; ankle_right_z; ankle_left_x; ankle_left_y; ankle_left_z; foot_right_x; foot_right_y; foot_right_z; foot_left_x; foot_left_y; foot_left_z;
415; 0,1213491; 0,9210142; 1,862777; 0,3203802; 0,6528285; 1,683723; ; ; ; 0,3092035; 0,5775986; 1,718722; 0,3209815; 0,5142572; 1,752037; 0,3229792; 0,3461614; 1,860713; 0,2756061; 0,5758499; 1,829337; 0,1028587; 0,6689861; 1,855766; 0,1026697; 0,7509327; 1,854871; -0,06319593; 0,597806; 1,798744; -0,1392105; 0,3669968; 1,85751; -0,1079004; 0,5948844; 1,700624; -0,1010547; 0,6342224; 1,708807; -0,1126432; 0,6823035; 1,689783; -0,03368287; 0,6017246; 1,70095; 0,1028011; 0,4132178; 1,849472; 0,1020432; 0,05649615; 1,830896; 0,1812918; 0,05293501; 1,789284; 0,01813018; 0,05737274; 1,788266; 0,1878134; -0,4279237; 1,809838; 0,019315; -0,4360024; 1,807251; 0,1561196; -0,7779899; 1,81931; 0,008502022; -0,7790705; 1,811632; 0,1575627; -0,8303426; 1,723476; -0,004534823; -0,8270227; 1,707667; 
448; 0,1211386; 0,9209173; 1,862182; 0,3215198; 0,6539943; 1,684665; ; ; ; 0,3087679; 0,5777888; 1,718676; 0,3208244; 0,5140882; 1,751685; 0,3226604; 0,3459713; 1,860352; 0,2755181; 0,5759946; 1,829444; 0,102841; 0,6687686; 1,855184; 0,1026566; 0,7506641; 1,854195; -0,06317905; 0,5977852; 1,798717; -0,1392682; 0,3668406; 1,857637; -0,1100139; 0,5961636; 1,70195; -0,09960519; 0,6316475; 1,710019; -0,1078879; 0,6833646; 1,691306; -0,0478933; 0,6267384; 1,769263; 0,102786; 0,4131255; 1,84913; 0,1020378; 0,05649168; 1,830739; 0,1812866; 0,0529298; 1,789122; 0,01812204; 0,05737387; 1,788123; 0,1876687; -0,4284095; 1,809828; 0,01938005; -0,4361413; 1,807182; 0,1560609; -0,7780702; 1,819333; 0,008484759; -0,7788541; 1,811531; 0,1576028; -0,830168; 1,722999; -0,004439904; -0,8269032; 1,707818; 
482; 0,1210043; 0,9209144; 1,862001; 0,3206513; 0,6536862; 1,68395; ; ; ; 0,3090351; 0,5772606; 1,71867; 0,3207609; 0,5140368; 1,751521; 0,3225014; 0,3459377; 1,860106; 0,2754574; 0,5761478; 1,829479; 0,1028191; 0,6686261; 1,854565; 0,1026375; 0,7504884; 1,853475; -0,06320301; 0,5978702; 1,798696; -0,1392996; 0,3666215; 1,857695; -0,1104074; 0,5963693; 1,701896; -0,09965879; 0,6332467; 1,712241; -0,1126873; 0,6833256; 1,689702; -0,04786459; 0,626695; 1,769289; 0,1027698; 0,4130676; 1,848773; 0,1020336; 0,0564939; 1,830604; 0,1812925; 0,05293952; 1,789031; 0,01810087; 0,05737018; 1,787946; 0,1876366; -0,4284442; 1,809826; 0,01932946; -0,43615; 1,807178; 0,1560361; -0,7780615; 1,819285; 0,008524182; -0,7787501; 1,811287; 0,1575526; -0,8301949; 1,722778; -0,004418325; -0,8272631; 1,707286; 
515; 0,1208549; 0,9208413; 1,861569; 0,3201188; 0,652293; 1,682346; ; ; ; 0,3088418; 0,5772895; 1,717762; 0,3206869; 0,5139132; 1,751271; 0,322282; 0,3458428; 1,859863; 0,2754395; 0,5762125; 1,829464; 0,102666; 0,6686107; 1,854205; 0,1024749; 0,7504636; 1,85309; -0,06322314; 0,5979307; 1,798678; -0,139612; 0,3660059; 1,857677; -0,102899; 0,5493554; 1,688041; -0,09697266; 0,6179169; 1,709393; -0,1087211; 0,6813431; 1,690093; -0,04181251; 0,6049563; 1,756576; 0,1026556; 0,4130807; 1,8485; 0,1019694; 0,05653178; 1,830424; 0,1812075; 0,05300945; 1,788768; 0,01805579; 0,0573865; 1,78784; 0,1874812; -0,4282632; 1,809823; 0,01954815; -0,4370728; 1,807153; 0,1559972; -0,7781302; 1,819268; 0,008642199; -0,7788438; 1,811221; 0,1575002; -0,830156; 1,722582; -0,004520282; -0,8276734; 1,704831; 
548; 0,1205239; 0,920929; 1,861148; 0,3177334; 0,6543236; 1,685072; ; ; ; 0,3122642; 0,5759618; 1,71461; 0,335098; 0,543295; 1,698292; 0,3220269; 0,3457457; 1,859807; 0,2753868; 0,576281; 1,82954; 0,1025212; 0,6685501; 1,853757; 0,1023235; 0,7503887; 1,852601; -0,0633125; 0,5980431; 1,798679; -0,1395886; 0,3658059; 1,857669; -0,1198428; 0,5993379; 1,702338; -0,09672622; 0,6158379; 1,709756; -0,1096285; 0,681302; 1,689993; -0,03854176; 0,6097211; 1,757258; 0,1025418; 0,4130625; 1,848176; 0,1018989; 0,05655167; 1,830234; 0,1811357; 0,05299332; 1,788638; 0,01798946; 0,05745859; 1,787581; 0,1870296; -0,4321654; 1,809512; 0,01941387; -0,4367521; 1,806974; 0,1557571; -0,7786946; 1,819218; 0,008633533; -0,7788374; 1,81122; 0,1573887; -0,8304548; 1,720284; -0,004026426; -0,8270397; 1,70631; 
583; 0,1203326; 0,9209064; 1,860766; 0,3191167; 0,6552766; 1,684891; ; ; ; 0,3122959; 0,5765675; 1,714558; 0,3278374; 0,5212083; 1,702442; 0,3217851; 0,3457269; 1,85948; 0,2753588; 0,5763045; 1,829541; 0,1023488; 0,6683992; 1,853223; 0,102148; 0,7501982; 1,851993; -0,06332735; 0,5981053; 1,79868; -0,1396627; 0,3656448; 1,857786; -0,1193036; 0,59918; 1,702443; -0,09699056; 0,6161502; 1,709794; -0,1064986; 0,6816816; 1,692726; -0,03984788; 0,6110764; 1,757914; 0,1023935; 0,4130137; 1,847843; 0,1017899; 0,05658703; 1,830087; 0,181009; 0,05304624; 1,788474; 0,01790065; 0,05747932; 1,787459; 0,1869148; -0,4310947; 1,80941; 0,01942352; -0,4369005; 1,806922; 0,1557255; -0,7788501; 1,82034; 0,008570859; -0,7790982; 1,811283; 0,157183; -0,8302382; 1,720907; -0,004063604; -0,8272092; 1,705757; 
615; 0,1202386; 0,9209055; 1,860675; 0,3187689; 0,6568961; 1,687607; ; ; ; 0,312646; 0,5772423; 1,714202; 0,3337719; 0,5362252; 1,701376; 0,3215839; 0,3456908; 1,859208; 0,2753246; 0,57633; 1,829556; 0,1022357; 0,6684617; 1,853047; 0,1020264; 0,7502675; 1,851808; -0,06333403; 0,5981046; 1,798674; -0,1397189; 0,3655934; 1,857776; -0,1143754; 0,5618209; 1,693182; -0,09775526; 0,6156742; 1,709346; -0,1075222; 0,6820347; 1,693496; -0,03442939; 0,6009356; 1,753645; 0,1023116; 0,4130603; 1,847703; 0,1017498; 0,05661657; 1,83; 0,1809655; 0,05311158; 1,788368; 0,01786349; 0,05748174; 1,787392; 0,1868439; -0,430251; 1,809333; 0,01954168; -0,4372825; 1,806843; 0,1557136; -0,7788777; 1,820573; 0,008563453; -0,779264; 1,811214; 0,157379; -0,829729; 1,721212; -0,004133462; -0,8275697; 1,705058; 
649; 0,1200957; 0,9208392; 1,860535; 0,3200619; 0,6558644; 1,685399; ; ; ; 0,3128915; 0,5763918; 1,712883; 0,3339296; 0,537112; 1,700784; 0,321447; 0,3456661; 1,859083; 0,2752784; 0,5764131; 1,829661; 0,1021835; 0,6683285; 1,852778; 0,1019929; 0,7500998; 1,851521; -0,06338227; 0,5981593; 1,798676; -0,1397808; 0,3655306; 1,85786; -0,1107278; 0,5570518; 1,690958; -0,09692562; 0,6151451; 1,708803; -0,1088266; 0,6815097; 1,692662; -0,03116948; 0,5976853; 1,750679; 0,1022143; 0,41302; 1,847482; 0,1015873; 0,05669037; 1,829811; 0,1807532; 0,05317787; 1,78811; 0,01774841; 0,05755713; 1,787266; 0,1868328; -0,4302061; 1,809317; 0,01933261; -0,4360476; 1,806728; 0,1556449; -0,7788697; 1,820784; 0,008550178; -0,7792811; 1,811186; 0,1573932; -0,8293291; 1,722344; -0,004118308; -0,8274052; 1,7054; 
681; 0,1197309; 0,9207153; 1,86011; 0,3183136; 0,655196; 1,684045; ; ; ; 0,312036; 0,5762215; 1,712075; 0,3282376; 0,5208068; 1,701733; 0,3212473; 0,3455031; 1,858935; 0,2751665; 0,5765083; 1,82963; 0,1017219; 0,6688004; 1,853683; 0,1014189; 0,7507485; 1,852856; -0,06344091; 0,5981551; 1,798588; -0,1399021; 0,3654366; 1,857842; -0,1105375; 0,5563106; 1,690557; -0,0967115; 0,6148788; 1,709303; -0,1070738; 0,6778322; 1,691385; -0,03693003; 0,6041579; 1,754717; 0,1020279; 0,4131482; 1,847615; 0,1014421; 0,05668568; 1,82953; 0,180617; 0,05316817; 1,787837; 0,01760124; 0,05756054; 1,786991; 0,1868033; -0,4298881; 1,809101; 0,01919153; -0,4351109; 1,806365; 0,1554887; -0,7787235; 1,820648; 0,008525894; -0,7793304; 1,811271; 0,1573633; -0,8291796; 1,722306; -0,00397806; -0,8268836; 1,706626; 
716; 0,119544; 0,9207606; 1,860004; 0,3185734; 0,6547888; 1,679286; ; ; ; 0,3121135; 0,5763776; 1,711585; 0,3315068; 0,5352403; 1,700827; 0,3211577; 0,3454374; 1,858839; 0,275103; 0,5766076; 1,829704; 0,1016619; 0,6687795; 1,853328; 0,1013785; 0,7507005; 1,852432; -0,06343676; 0,5981879; 1,798564; -0,1400864; 0,365331; 1,857885; -0,1071027; 0,5515034; 1,688967; -0,09723514; 0,6147338; 1,708688; -0,1097499; 0,6806273; 1,690791; -0,02762659; 0,5948864; 1,750345; 0,1019241; 0,4131826; 1,847365; 0,1013058; 0,05676773; 1,829331; 0,1804737; 0,05326065; 1,787583; 0,01747787; 0,05763068; 1,786847; 0,1867544; -0,428635; 1,808745; 0,01919137; -0,4351113; 1,806364; 0,1551732; -0,7779548; 1,820419; 0,008460119; -0,779295; 1,811265; 0,1573855; -0,8287605; 1,724394; -0,004229554; -0,8269961; 1,707708; 
